Id,Forno,Dt,VPlaca,VAlvo,VLiquida,VTotal,RLen,RRap,Incremento,Perda_Catodica,Perda_Anodica,EA,VMedEA,VMaxEA,Fluoreto,Fluorita,Banho,Metal,Temperatura,Ferro,Silicio,Producao,Ligada,Vida,Corrente,Desfilamento,Flanco,Vazio,Lombo,Plasticidade,DurEA,Tam_Anodo,MovCima,MovBaixo,FalhaMov,PrevEA,QP,NQueb,EA_24,EA_72,EA_96,AdFluoreto,IntervCorr,IntervRefCorr,IntervRefQueb,CargaFluoreto,CargaFluorita,TotalFluoreto,NumDBDia,NumDBConsec,NumDBQueb,DifAlFalhaMov,DifAlBandaMorta,DifAlInibPrev,DifAlInibQueb,DifAlIntervMov,DifAlManual,DifAlInibUsu,DifAlDesvio,DeltaRCorr,Al2O3,Tipo_Oper,Num_Pontas_Atras,Manobra_Anodo,Anodo_Medido,Consumo_Anodo,Lev_Tot_Pontista,Lev_Tot_Tecnico,Lev_Fora_Pontista,Lev_Fora_Tecnico,EA_30,Eficiencia,Sala_Forno
1526_250121,1526,2021-01-25,"4,17","4,18","4,19","4,19","2,4","5,8",11,NULL,NULL,0,0,0,11,"5,8",14,42,960,NULL,NULL,955,1,0,"132,11",NULL,NULL,NULL,"NR ",NULL,0,NULL,11,19,0,1,0,5,0,0,0,NULL,76334,89920,14806,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,6241,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7458557262887",Sala Forno 6
1526_250221,1526,2021-02-25,"4,27","4,27","4,29","4,28","2,3",6,0,NULL,NULL,0,0,0,"9,2","6,2",15,43,964,NULL,NULL,NULL,1,0,"131,1",NULL,NULL,NULL,NULL,NULL,0,NULL,5,22,0,5,0,3,0,0,0,36,60298,110260,14493,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5964,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_260121,1526,2021-01-26,"4,17","4,18","4,23","4,26","4,2","5,7",13,NULL,NULL,1,"16,04","32,88",NULL,NULL,NULL,NULL,NULL,"0,1577","0,0303",955,1,0,"132,1",NULL,NULL,NULL,NULL,NULL,250,NULL,5,23,0,5,0,4,0,1,0,NULL,81574,85094,12979,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5020,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,75264950794853",Sala Forno 6
1526_270121,1526,2021-01-27,"4,17","4,18","4,2","4,2","2,4","5,7",11,NULL,NULL,0,0,0,"10,2","5,7",17,41,955,NULL,NULL,955,1,0,"132,11",NULL,NULL,NULL,NULL,NULL,0,NULL,7,25,0,1,1,4,0,0,0,23,97260,95954,14434,NULL,NULL,NULL,2,1,0,0,0,0,0,0,0,0,0,5672,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7458557262887",Sala Forno 6
1526_280121,1526,2021-01-28,"4,17","4,19","4,21","4,21","2,9",6,17,NULL,NULL,0,0,0,"10,2","5,7",17,41,955,NULL,NULL,955,1,0,"130,55",NULL,NULL,NULL,NULL,NULL,0,NULL,6,22,0,0,0,6,0,0,0,23,100994,110548,14754,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5026,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90,81826886250478",Sala Forno 6
1526_290121,1526,2021-01-29,"4,17","4,18","4,19","4,19","2,1","6,1",11,NULL,NULL,0,0,0,"10,2","5,7",17,41,955,NULL,NULL,955,1,0,"130,25",NULL,NULL,NULL,NULL,NULL,0,NULL,11,15,0,2,0,6,0,0,0,23,98851,122999,14212,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5572,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"91,02744721689061",Sala Forno 6
1526_300121,1526,2021-01-30,"4,17","4,17","4,18","4,18","2,2","6,2",0,NULL,NULL,0,0,0,"10,2","5,7",17,41,955,NULL,NULL,955,1,0,"132,11",NULL,NULL,NULL,NULL,NULL,0,NULL,6,21,1,1,0,5,0,0,0,23,86554,123153,14899,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5130,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7458557262887",Sala Forno 6
1526_310121,1526,2021-01-31,"4,17","4,19","4,23","4,24","2,7","6,3",17,NULL,NULL,1,"15,61","32,64","10,2","5,7",17,41,955,NULL,NULL,955,1,0,"131,32",NULL,NULL,NULL,NULL,NULL,138,NULL,10,22,1,4,2,6,0,1,0,23,57132,93885,13657,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5693,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90,28575236064576",Sala Forno 6
1526_010121,1526,2021-01-01,"4,15","4,17","4,19","4,19","1,4","2,7",22,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"131,29",NULL,NULL,NULL,NULL,NULL,0,NULL,11,25,0,0,0,6,0,0,0,NULL,168351,83426,14670,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,3466,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90,3063828166654",Sala Forno 6
1526_010221,1526,2021-02-01,"4,17","4,18","4,21","4,21","2,3","6,8",14,NULL,NULL,0,0,0,"10,2","5,7",17,41,955,NULL,NULL,955,1,0,"131,87",NULL,NULL,NULL,"N  ",NULL,0,NULL,10,15,0,0,0,5,0,0,0,23,76468,83953,15181,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,6697,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,90919086979602",Sala Forno 6
1526_020121,1526,2021-01-02,"4,15","4,16","4,19","4,19","1,5","2,4",14,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,0,NULL,8,26,1,2,2,6,0,0,0,NULL,87536,84562,14206,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,"0,465",NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_020221,1526,2021-02-02,"4,17","4,19","4,22","4,22","2,4",7,18,NULL,NULL,0,0,0,10,"6,1",15,42,966,"0,1845","0,0271",955,1,0,"130,53",NULL,NULL,NULL,NULL,NULL,0,NULL,11,12,1,0,0,5,0,0,0,27,85889,83442,15044,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,5055,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"90,83218417222095",Sala Forno 6
1526_030121,1526,2021-01-03,"4,15","4,16","4,18","4,24","1,4","2,4",6,NULL,NULL,1,"27,18","48,01",NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,293,NULL,9,21,1,1,0,4,0,0,0,NULL,90647,88809,14635,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,4721,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_030221,1526,2021-02-03,"4,17","4,18","4,2","4,22","2,2","6,6",8,NULL,NULL,1,"18,5","32,58",10,"6,1",15,42,966,NULL,NULL,600,1,0,"131,11",NULL,NULL,NULL,NULL,NULL,148,NULL,4,21,0,3,0,6,0,0,0,27,97918,94960,16321,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,"0,486",NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"56,81488826176493",Sala Forno 6
1526_040121,1526,2021-01-04,"4,15","4,16","4,2","4,2","1,5","3,2",13,NULL,NULL,0,0,0,"8,2","5,3",15,41,957,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,"N  ",NULL,0,NULL,9,19,0,1,0,5,0,0,0,245,85262,87671,15164,NULL,NULL,NULL,2,1,1,0,0,0,0,0,0,0,0,5589,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_040221,1526,2021-02-04,"4,17","4,19","4,21","4,2","3,6","6,8",22,NULL,NULL,0,0,0,10,"6,1",15,42,966,NULL,NULL,NULL,1,0,"130,13",NULL,NULL,NULL,NULL,NULL,0,NULL,11,23,0,2,2,4,0,0,0,27,81820,90380,15322,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,4166,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_050121,1526,2021-01-05,"4,16","4,17","4,2","4,2","1,5","3,5",15,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,"0,1535","0,038",955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,0,NULL,9,20,0,1,0,5,0,0,0,NULL,83358,84629,14780,NULL,NULL,NULL,2,1,1,0,0,0,0,0,0,0,0,5580,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_050221,1526,2021-02-05,"4,19","4,2","4,22","4,22","2,3","6,9",17,NULL,NULL,0,0,0,10,"6,1",15,42,966,NULL,NULL,NULL,1,0,"131,1",NULL,NULL,NULL,NULL,NULL,0,NULL,10,19,0,0,0,6,0,0,0,27,118607,122587,14710,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5879,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_060121,1526,2021-01-06,"4,17","4,17","4,18","4,18","1,4","2,9",0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"132,11",NULL,NULL,NULL,NULL,NULL,0,NULL,11,23,0,1,0,4,0,0,0,NULL,86557,84786,14534,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,4660,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7458557262887",Sala Forno 6
1526_060221,1526,2021-02-06,"4,21","4,22","4,24","4,23","2,8","6,6",13,NULL,NULL,0,0,0,10,"6,1",15,42,966,NULL,NULL,NULL,1,0,"128,09",NULL,NULL,NULL,NULL,NULL,0,NULL,13,23,0,2,0,6,0,0,0,27,81268,117455,14994,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,0,7056,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_070121,1526,2021-01-07,"4,17","4,18","4,22","4,23","1,9","3,6",14,NULL,NULL,1,"15,2","31,6",NULL,NULL,16,41,NULL,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,166,NULL,8,27,3,5,1,6,0,1,0,NULL,89274,87660,15540,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,3950,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_070221,1526,2021-02-07,"4,21","4,21","4,24","4,26","2,5","6,8",3,NULL,NULL,1,"21,72","35,82",10,"6,1",15,42,966,NULL,NULL,NULL,1,0,"131,12",NULL,NULL,NULL,NULL,NULL,116,NULL,11,26,1,7,0,4,0,1,0,27,79993,111048,12776,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4486,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_080121,1526,2021-01-08,"4,17","4,19","4,21","4,21","1,7","3,6",17,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,0,NULL,8,30,1,1,0,6,0,0,0,NULL,93187,94447,14788,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,3358,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_080221,1526,2021-02-08,"4,21","4,23","4,25","4,25","2,5","6,6",19,NULL,NULL,0,0,0,10,"6,1",15,42,966,NULL,NULL,NULL,1,0,"129,79",NULL,NULL,NULL,NULL,NULL,0,NULL,14,25,2,1,1,6,0,0,0,27,62373,87021,15371,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,3916,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_090121,1526,2021-01-09,"4,17","4,19","4,21","4,21","1,7","3,3",19,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,NULL,NULL,0,NULL,6,29,1,5,3,7,0,0,0,NULL,83988,92035,15272,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4588,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_090221,1526,2021-02-09,"4,21","4,23","4,26","4,25","2,3","6,8",16,NULL,NULL,0,0,0,"9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,"131,12",NULL,NULL,NULL,NULL,NULL,0,NULL,13,25,0,1,1,6,0,0,0,33,89890,90511,14830,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,6133,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_100121,1526,2021-01-10,"4,17","4,17","4,18","4,18","1,8","3,7",0,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,955,1,0,"129,99",NULL,NULL,NULL,NULL,NULL,0,NULL,9,23,1,1,0,5,0,0,0,NULL,83203,88838,14750,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"91,20951611662436",Sala Forno 6
1526_100221,1526,2021-02-10,"4,21","4,22","4,24","4,23","2,4","6,5",9,NULL,NULL,0,0,0,"9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,"131,12",NULL,NULL,NULL,NULL,NULL,0,NULL,12,25,0,2,0,6,0,0,0,33,87137,91248,14818,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,4302,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
1526_110121,1526,2021-01-11,"4,17","4,18","4,21","4,21","1,8","3,8",14,NULL,NULL,1,"11,64","21,34","13,7","5,5",16,41,945,NULL,NULL,955,1,0,"132,12",NULL,NULL,NULL,"N  ",NULL,25,NULL,8,41,1,2,0,6,0,0,0,30,96306,98744,14669,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,5611,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"89,7390629730548",Sala Forno 6
1526_110221,1526,2021-02-11,"4,21","4,21","4,23","4,22","2,4","5,8",0,NULL,NULL,0,0,0,"9,4","6,1",15,43,962,NULL,NULL,NULL,1,0,"128,66",NULL,NULL,NULL,NULL,NULL,0,NULL,9,21,0,2,0,5,0,0,0,33,82773,87621,15082,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sala Forno 6
